"genes_to_genomes","genomes","Key"
4177.1,1,"Unique genes"
860.3,2,"Unique genes"
947.4,3,"Unique genes"
1044.8,4,"Unique genes"
1195.1,5,"Unique genes"
1526.9,6,"Unique genes"
1901.1,7,"Unique genes"
1964.6,8,"Unique genes"
2290.3,9,"Unique genes"
2605.2,10,"Unique genes"
2672.7,11,"Unique genes"
2847.4,12,"Unique genes"
2892.8,13,"Unique genes"
2936.5,14,"Unique genes"
3002.4,15,"Unique genes"
3279.3,16,"Unique genes"
3428.4,17,"Unique genes"
3440.9,18,"Unique genes"
3577.5,19,"Unique genes"
3660.3,20,"Unique genes"
3813.8,21,"Unique genes"
3979.4,22,"Unique genes"
3979.3,23,"Unique genes"
4079.8,24,"Unique genes"
4083.3,25,"Unique genes"
4388.8,26,"Unique genes"
4439.2,27,"Unique genes"
4474.4,28,"Unique genes"
4493.2,29,"Unique genes"
4486,30,"Unique genes"
4755.7,31,"Unique genes"
4803,32,"Unique genes"
4177.1,1,"New genes"
397.9,2,"New genes"
308.6,3,"New genes"
256.2,4,"New genes"
303.8,5,"New genes"
459.2,6,"New genes"
483.7,7,"New genes"
181.4,8,"New genes"
419.4,9,"New genes"
429.7,10,"New genes"
192.6,11,"New genes"
292.3,12,"New genes"
136.1,13,"New genes"
125.6,14,"New genes"
128.9,15,"New genes"
346.6,16,"New genes"
214.2,17,"New genes"
77.5,18,"New genes"
201.3,19,"New genes"
154.6,20,"New genes"
231.4,21,"New genes"
230.1,22,"New genes"
52.1,23,"New genes"
177.2,24,"New genes"
44.9,25,"New genes"
354.5,26,"New genes"
97.7,27,"New genes"
70.5,28,"New genes"
69.3,29,"New genes"
32.5,30,"New genes"
315.2,31,"New genes"
85.9,32,"New genes"
