Annotation source,Category/term pathway,Functional Groups,Gene Count,Representative proteins in B13
GO,Response to stress (GO:0006950),Stress Response,122,
GO,DNA repair (GO:0006281),Stress Response,33,
GO,Response to heat (GO:0009408),Stress Response,16,
GO,Response to antibiotic (GO:0046677),Stress Response,15,
GO,Tetrapyrrole metabolic process (GO:0033013),Stress Response,14,
GO,Cellular response to starvation (GO:0009267),Stress Response,9,
GO,Protein folding (GO:0006457),Stress Response,5,
GO,Response to osmotic stress (GO:0006970),Stress Response,4,
GO,Regulation of fatty acid metabolic process (GO:0019217),Stress Response,2,
GO,Chemotaxis (GO:0006935),Environmental Adaptation,11,
GO,Xenobiotic transmembrane transport (GO:0006855),Environmental Adaptation,11,
GO,Phosphorelay signal transduction system (GO:0000160),Environmental Adaptation,5,
GO,Biofilm formation (GO:0042710),Environmental Adaptation,1,
GO,Both (Cross-functional),Both,8,
